100,0,0,0
100,0,0,0
100,0,0,0
1,99,0,0
100,0,0,0
16,0,0,84
2,98,0,0
100,0,0,0
0,100,0,0
100,0,0,0
0,27,73,0
100,0,0,0
0,0,0,100
45,55,0,0
31,0,0,69
0,56,0,44
0,0,0,100
100,0,0,0
41,59,0,0
100,0,0,0
0.0,0.0,0.0,0.0
0,0,0,100
0,79,21,0
0,0,0,100
0.0,0.0,0.0,0.0
0,100,0,0
54,27,19,0
0,31,69,0
0,0,0,100
0,30,70,0
0,0,0,100
25,35,29,11
0,0,0,100
0,0,100,0
100,0,0,0
0,0,0,100
0,0,100,0
97,3,0,0
0,0,0,100
16,0,84,0
0,0,100,0
0,0,62,38
0,0,100,0
23,77,0,0
100,0,0,0
0,0,0,100
25,25,25,25
0,0,0,100
54,46,0,0
0,0,0,100
0,0,100,0
0,100,0,0
55,45,0,0
100,0,0,0
100,0,0,0
0,0,0,100
69,0,0,31
0,0,0,100
0,100,0,0
71,0,0,29
35,32,25,8
0,100,0,0
0,70,30,0
0.0,0.0,0.0,0.0
100,0,0,0
0,100,0,0
100,0,0,0
0,0,100,0
0,0,0,100
31,0,0,69
0,0,100,0
0.0,0.0,0.0,0.0
0,0,100,0
75,17,8,0
100,0,0,0
0,0,78,22
0,2,98,0
68,32,0,0
0,100,0,0
0,81,0,19
100,0,0,0
32,18,50,0
0,0,100,0
100,0,0,0
88,0,12,0
0,0,50,50
0,31,0,69
0,0,100,0
100,0,0,0
100,0,0,0
0,0,100,0
0,0,0,100
0,0,100,0
0,0,0,100
31,31,38,0
26,74,0,0
0,100,0,0
74,26,0,0
0,0,100,0
100,0,0,0
0,100,0,0
100,0,0,0
0,0,100,0
100,0,0,0
0.0,0.0,0.0,0.0
100,0,0,0
0,100,0,0
0,0,100,0
78,22,0,0
100,0,0,0
100,0,0,0
48,0,33,19
100,0,0,0
0,0,100,0
70,20,0,10
100,0,0,0
100,0,0,0
100,0,0,0
0,0,0,100
100,0,0,0
2,98,0,0
0,100,0,0
0,0,50,50
25,25,36,14
0,0,100,0
25,49,26,0
0,0,100,0
0,0,0,100
83,17,0,0
0,0,0,100
0.0,0.0,0.0,0.0
0,100,0,0
100,0,0,0
0.0,0.0,0.0,0.0
0,0,0,100
0,0,100,0
100,0,0,0
0,100,0,0
0,0,0,100
0,0,100,0
0,100,0,0
0,100,0,0
100,0,0,0
0,100,0,0
38,62,0,0
35,33,32,0
100,0,0,0
0,100,0,0
0,0,100,0
34,34,25,7
0,100,0,0
0,100,0,0
69,19,0,12
100,0,0,0
32,0,68,0
95,5,0,0
0,71,29,0
0,0,100,0
0,0,67,33
20,80,0,0
34,31,25,10
100,0,0,0
0,100,0,0
0,0,100,0
70,30,0,0
0,0,50,50
100,0,0,0
0,0,100,0
0,100,0,0
80,0,20,0
0,0,0,100
0,82,18,0
100,0,0,0
0,0,0,100
100,0,0,0
8,92,0,0
100,0,0,0
100,0,0,0
0,100,0,0
0,100,0,0
0,0,100,0
0.0,0.0,0.0,0.0
100,0,0,0
0,56,0,44
0,24,76,0
100,0,0,0
0,48,0,52
0,100,0,0
0,66,33,1
0,52,0,48
0,100,0,0
1,99,0,0
17,0,83,0
83,0,17,0
0,0,83,17
0,0,100,0
0,0,0,100
15,0,0,85
75,0,25,0
0,0,0,100
38,25,25,12
85,0,0,15
0,0,0,100
0,100,0,0
0,0,0,100
0,0,85,15
100,0,0,0
1,99,0,0
0,100,0,0
0,0,0,100
88,0,12,0
100,0,0,0
0,100,0,0
0,0,100,0
0,0,0,100
0,100,0,0
39,20,0,41
89,0,11,0
25,25,41,9
0,9,91,0
100,0,0,0
0.0,0.0,0.0,0.0
85,15,0,0
0,0,50,50
100,0,0,0
100,0,0,0
0,0,100,0
56,36,0,8
0,0,0,100
100,0,0,0
0,100,0,0
0,65,35,0
0,0,100,0
0,100,0,0
100,0,0,0
0,90,0,10
100,0,0,0
0,0,100,0
0,8,92,0
0,0,100,0
100,0,0,0
100,0,0,0
0.0,0.0,0.0,0.0
0,0,100,0
23,50,27,0
55,29,16,0
0,100,0,0
0,0,0,100
93,7,0,0
100,0,0,0
0,0,0,100
0.0,0.0,0.0,0.0
85,15,0,0
0,100,0,0
15,0,85,0
0,100,0,0
0,15,85,0
0,0,100,0
0,100,0,0
0,100,0,0
100,0,0,0
0,0,100,0
0,0,100,0
100,0,0,0
0,0,0,100
0,100,0,0
100,0,0,0
0,0,100,0
0,0,0,100
0,0,100,0
26,0,56,18
0,0,50,50
0,20,80,0
0.0,0.0,0.0,0.0
0,0,100,0
0,24,48,28
0,0,70,30
0,0,100,0
0,0,100,0
0,100,0,0
100,0,0,0
0,100,0,0
0,82,0,18
81,0,19,0
0,0,100,0
0,100,0,0
85,0,0,15
41,47,12,0
0,100,0,0
85,0,15,0
0,100,0,0
100,0,0,0
0,56,33,11
0,100,0,0
0,100,0,0
0,0,100,0
0,0,0,100
100,0,0,0
28,0,33,39
35,25,40,0
0,14,86,0
0,0,0,100
38,0,62,0
100,0,0,0
0.0,0.0,0.0,0.0
0,0,100,0
0,100,0,0
82,18,0,0
34,35,25,6
16,84,0,0
0,0,100,0
0.0,0.0,0.0,0.0
0,43,0,57
16,0,84,0
0,0,100,0
0,77,23,0
0,0,0,100
0,100,0,0
17,70,0,13
0,0,100,0
0,0,59,41
20,0,80,0
0,28,33,39
0,0,80,20
0,0,0,100
0.0,0.0,0.0,0.0
0,57,0,43
0,0,100,0
100,0,0,0
0,0,0,100
0,0,0,100
0,0,76,24
0,0,100,0
0,0,100,0
42,38,20,0
100,0,0,0
20,61,0,19
17,0,68,15
24,76,0,0
0,0,100,0
0,0,100,0
100,0,0,0
0,84,16,0
0,100,0,0
100,0,0,0
0,39,33,28
23,77,0,0
0,0,100,0
0,52,33,15
14,0,0,86
100,0,0,0
23,77,0,0
0,0,50,50
0,0,0,100
77,0,0,23
0,0,0,100
0,0,100,0
0,0,100,0
0,0,0,100
100,0,0,0
0,0,0,100
0,0,0,100
43,0,33,24
0,0,0,100
0,100,0,0
77,23,0,0
26,0,33,41
78,0,0,22
0,0,0,100
0,0,50,50
0,0,0,100
0.0,0.0,0.0,0.0
6,94,0,0
0,100,0,0
0,100,0,0
0,0,100,0
100,0,0,0
20,25,55,0
0,0,100,0
48,52,0,0
0,0,100,0
0,46,33,21
100,0,0,0
27,26,47,0
0,0,100,0
0,0,73,27
25,25,25,25
0,100,0,0
0,0,73,27
0.0,0.0,0.0,0.0
0,100,0,0
0,0,98,2
0,10,0,90
46,0,33,21
46,27,27,0
24,76,0,0
1,0,0,99
0,0,100,0
0,49,51,0
